Part Number,Category,Description,Supplier Name,Margin %,Margin,Active Price,On Hand ,Qty Sold Last ,Qty Sold Last ,Qty Sold Last ,Qty Sold Last ,Qty Sold Last ,Qty Sold Last ,Qty Sold Last ,Qty Sold Last ,Qty Sold Last ,Qty Sold Last ,Months No ,Reorder Point
8157,PGC,FA152R SINTERED SERIES BRAKE P,Parts Canada    Power Twins (Price ,53.97%,25.88,47.95,0,0,0,0,0,0,0,0,0,0,0,184,0
8160,PGC,FA159SV SEVERE DUTY SERIES BRA,Parts Canada    Power Twins (Price ,42.39%,18.63,43.95,0,0,0,0,0,0,0,0,0,0,0,168,0
8175,PGC,FA179 DISC PAD SET EBC,Parts Canada    Power Twins (Price ,55.33%,26.53,47.95,0,0,0,0,0,0,0,0,0,0,0,195,0
8205,PGC,FA141 ORGANIC SERIES BRAKE PAD,Parts Canada    Power Twins (Price ,47.19%,22.63,47.95,0,0,0,0,0,0,0,0,0,0,0,104,0
8296,PGC,FA213 DISC PAD SET EBC,Parts Canada    Power Twins (Price ,35.07%,11.57,32.99,0,0,0,0,0,0,0,0,0,0,0,132,0
8303,PGC,FA363 BRAKE PAD EBC,Parts Canada    Power Twins (Price ,39.06%,18.73,47.95,0,0,0,0,0,0,0,0,0,0,0,84,0
8332,PGC,FA363HH BRAKE PAD EBC,Parts Canada    Power Twins (Price ,48.16%,28.87,59.95,0,0,0,0,0,0,0,0,0,0,0,82,0
8596,PGC,CK4425 FRICTION PLATE SET EBC,Parts Canada    Power Twins (Price ,50.30%,51.28,101.95,0,0,0,0,0,0,0,0,0,0,0,172,0
8864,PGC,BRAKE SHOE EBC 864 BMW,Thibault Canada (Price Book),21.57%,15.96,73.99,0,0,0,0,0,0,0,0,0,0,0,132,0
8971,PGC,FA368R SINTERED SERIES BRAKE P,Parts Canada    Power Twins (Price ,41.13%,21.78,52.95,0,0,0,0,0,0,0,0,0,0,0,0,0
8972,PGC,MXS368 SINTERD MX RACE SERIES,Parts Canada    Power Twins (Price ,40.02%,24.39,60.95,0,0,0,0,0,0,0,0,0,0,0,100,0
009-MD4041RS,PGC,009-MD4041RS,Thibault Canada (Price Book),28.61%,71.8,250.99,0,0,0,0,0,0,0,0,0,0,0,176,0
009-MD604LS,PGC,MD604LS EBC K75,Thibault Canada (Price Book),30.00%,101.4,337.99,0,0,0,0,0,0,0,0,0,0,0,88,0
009-MD671,PGC,MD671 EBC ROTOR,Thibault Canada (Price Book),30.00%,72.3,240.99,0,0,0,0,0,0,0,0,0,0,0,81,0
9089,PGC,JRSY S6Y PHAS HYPR BL XL,Parts Canada    Power Twins (Price ,52.49%,20.99,39.99,0,0,0,0,0,0,0,0,0,0,0,80,0
9607,PGC,FA407HH DOUBLE H SERIES BRAKE,Parts Canada    Power Twins (Price ,51.26%,30.73,59.95,0,0,0,0,0,0,0,0,0,0,0,156,0
9647,PGC,FA213 ORGANIC SERIES BRAKE PAD,Parts Canada    Power Twins (Price ,39.52%,18.95,47.95,0,0,0,0,0,0,0,0,0,0,0,0,0
9687,PGC,FA436 ORGANIC SERIES BRAKE PAD,Parts Canada    Power Twins (Price ,50.30%,25.63,50.95,0,0,0,0,0,0,0,0,0,0,0,156,0
9803,PGC,FA458HH DOUBLE H SERIES BRAKE,Parts Canada    Power Twins (Price ,39.82%,27.06,67.95,0,0,0,0,0,0,0,0,0,0,0,131,0
009MD604RS,AOA,ROTOR FR BMW K75 -95 ALL/K100,Thibault Canada (Price Book),30.00%,101.4,337.99,0,0,0,0,0,0,0,0,0,0,0,88,0
01-045-5018-0,AOA,Rad guards WC1200,Touratech USA/Cyco Active,16.66%,30.4,182.47,0,0,0,0,0,0,0,0,0,0,0,111,0
01-050-3022-0,ALG,Touratech pannier,BUTLER MAPS INC,4.76%,34.71,728.81,0,0,0,0,0,0,0,0,0,0,0,91,0
01-121,AOA,CHROME GOGGLE ROADHAW,Motovan Corporation,58.73%,25.25,42.99,0,0,0,0,0,0,0,0,0,0,0,159,0
01-7154,ACC,CW-1 DARK SMOKE SHIELD,Motovan Corporation,41.51%,24.9,59.99,0,0,0,0,0,0,0,0,0,0,0,125,0
01-7161,ACC,CW-1 WITH PINLOCK PINS CLEAR,Motovan Corporation,30.00%,19.5,64.99,0,0,0,0,0,0,0,0,0,0,0,79,0
01-7173,AOA,C-49 Pinlock Clear - Hornet,Motovan Corporation,49.67%,23.34,46.99,0,0,0,0,0,0,0,0,0,0,0,93,0
01-7175,AOA,Pinlock Lens YEL Shoei Hornet,Motovan Corporation,49.99%,19.99,39.99,0,0,0,0,0,0,0,0,0,0,0,163,0
01-7178,AOA,PIN LOCK CLEAR ANTI FOG LENS,Motovan Corporation,48.01%,22.56,46.99,0,0,0,0,0,0,0,0,0,0,0,111,0
01-7191,AHM,CX-1V LIGHT SMOKE SHIELD,Motovan Corporation,40.86%,19.2,46.99,0,0,0,0,0,0,0,0,0,0,0,158,0
01-7192,AHM,CX-1V DARK SMOKE SHIELD,Motovan Corporation,41.50%,19.5,46.99,0,0,0,0,0,0,0,0,0,0,0,124,0
01-7273,PGC,"J-WIN/MULT CHEEK SET 35MM (XS,",Motovan Corporation,49.60%,24.3,48.99,0,0,0,0,0,0,0,0,0,0,0,175,0
01-7533,AOA,CX-1 QR FULL SET,Motovan Corporation,54.14%,13.8,25.49,0,0,0,0,0,0,0,0,0,0,0,188,0
01-8137,PGC,HORNET BASE SET BLACK,Motovan Corporation,60.49%,6.95,11.49,0,0,0,0,0,0,0,0,0,0,0,131,0
01-8195,AHM,MULTITEC CHIN CURTAIN,Motovan Corporation,44.44%,4.44,9.99,0,0,0,0,0,0,0,0,0,0,0,161,0
01-9605,AOA,BREATH DEFLECTOR TYPE 1 XS/S/M,Motovan Corporation,59.08%,19.49,32.99,0,0,0,0,0,0,0,0,0,0,0,164,0
10016,CGV,ICON SUZUKI ARC L BLUE GLOVE,Parts Canada    Power Twins (Price ,72.22%,64.99,89.99,0,0,0,0,0,0,0,0,0,0,0,133,0
10022,PGC,BRAKE PAD EBC FA22 BMW,Thibault Canada (Price Book),42.59%,23.42,54.99,0,0,0,0,0,0,0,0,0,0,0,144,0
10033,PGC,BRAKE PAD EBC FA33  (VD408/409,Thibault Canada (Price Book),43.77%,22.32,50.99,0,0,0,0,0,0,0,0,0,0,0,104,0
10051,PGC,BRAKE PAD EBC FA51          (V,Thibault Canada (Price Book),43.75%,20.56,46.99,0,0,0,0,0,0,0,0,0,0,0,104,0
10068,PGC,BRAKE PAD EBC FA68          (V,Thibault Canada (Price Book),43.75%,20.56,46.99,0,0,0,0,0,0,0,0,0,0,0,104,0
0100843R,PGC,BRAKE PAD EBC FA843R        (V,Thibault Canada (Price Book),38.99%,18.32,46.99,0,0,0,0,0,0,0,0,0,0,0,201,0
10104,PGC,BRAKE PAD EBC FA104       (VD2,Thibault Canada (Price Book),42.20%,19.83,46.99,0,0,0,0,0,0,0,0,0,0,0,195,0
010105X,PGC,BRAKE PAD EBC FA105X        (V,Thibault Canada (Price Book),42.20%,19.83,46.99,0,0,0,0,0,0,0,0,0,0,0,201,0
10107,AEX,Exhaust Wrap 50' Roll,Colwood Langford Auto Supply Ltd.,41.65%,27.9,66.99,0,0,0,0,0,0,0,0,0,0,0,173,0
101088004,AEX,Exhaust-Remus SS Header R12GS,Remus USA (Max Moto),27.39%,203.64,743.47,0,0,0,0,0,0,0,0,0,0,0,98,0
101088005,AEX,Exhaust-RemusHeaderSystemR12RT,Remus USA (Max Moto),24.35%,160,657,0,0,0,0,0,0,0,0,0,0,0,172,0
101088205,AEX,Remus Header System HP2,Remus USA (Max Moto),18.17%,108.99,599.99,0,0,0,0,0,0,0,0,0,0,0,132,0
101088206,AEX,Exhaust Remus Header SL R12R,Remus USA (Max Moto),35.00%,209.99,599.99,0,0,0,0,0,0,0,0,0,0,0,149,0
10146,PGC,BRAKE PAD EBC FA146         (V,Thibault Canada (Price Book),43.05%,21.09,48.99,0,0,0,0,0,0,0,0,0,0,0,104,0
103088104,AEX,Exhust-Remus Hexa.Conn. SS R12,Remus USA (Max Moto),26.25%,51.06,194.53,0,0,0,0,0,0,0,0,0,0,0,98,0
105084511,AEX,F650 gs connector,Remus USA (Max Moto),14%,28,200,0,0,0,0,0,0,0,0,0,0,0,102,0
105085206,AEX,Remus connector F800ST,Remus USA (Max Moto),11.27%,20.95,185.95,0,0,0,0,0,0,0,0,0,0,0,112,0
105088005,AEX,Exhust-Remus ConnTube R12RThex,Remus USA (Max Moto),23.74%,42.5,179,0,0,0,0,0,0,0,0,0,0,0,130,0
105088011,AEX,Remus Connector piece '11 R12R,Remus USA (Max Moto),10.99%,20.12,183,0,0,0,0,0,0,0,0,0,0,0,112,0
105088105,AEX,Remus K1300 connector,Remus USA (Max Moto),11.16%,20.17,180.8,0,0,0,0,0,0,0,0,0,0,0,108,0
107087799,AEX,Exhust-Remus y conn. R1150GS/A,Remus USA (Max Moto),48%,237.6,495,0,0,0,0,0,0,0,0,0,0,0,174,0
11118,PGC,ICON VICTORY 40 BLUE/BLACK PAN,Parts Canada    Power Twins (Price ,28.18%,26.77,94.99,0,0,0,0,0,0,0,0,0,0,0,150,0
11125,CNB,ICON STRONGARM2 34 BLUE PANT,Parts Canada    Power Twins (Price ,35.64%,30.28,84.95,0,0,0,0,0,0,0,0,0,0,0,0,0
012-115,AOA,SPARK PLUG HOLDER 2PACK,Motovan Corporation,62.10%,4.03,6.49,0,0,0,0,0,0,0,0,0,0,0,100,0
13255,PGC,ICON WMN STREET ANGEL M PINK G,Parts Canada    Power Twins (Price ,27.83%,12.52,44.99,0,0,0,0,0,0,0,0,0,0,0,155,0
13585,CGV,ICON JUSTICE TOUCH M GLOVE,Parts Canada    Power Twins (Price ,35.02%,33.27,94.99,0,0,0,0,0,0,0,0,0,0,0,0,0
0136-0026,PGC,HELMET SERVICE PAD ICON,Parts Canada    Power Twins (Price ,40.91%,13.03,31.85,0,0,0,0,0,0,0,0,0,0,2,65,0
1417651487,PGC,OWN.HANDBOOK   R1100S,BMW Group Canada,32.99%,12.55,38.04,0,0,0,0,0,0,0,0,0,0,0,110,0
1417660741,LM,OWN.HANDBOOK R13,BMW Group Canada,33.58%,10.91,32.49,0,0,0,0,0,0,0,0,0,0,0,132,0
1417663651,PGC,OWNER'S HNDBK R850C-R1200C T,BMW Group Canada,33.00%,10.63,32.21,0,0,0,0,0,0,0,0,0,0,0,102,0
1417664381,AOA,Own.Handbook-R1150R,BMW Group Canada,26.22%,8.52,32.49,0,0,0,0,0,0,0,0,0,0,0,0,0
1417664931,PGC,OWN.HANDBOOK R1100S E,BMW Group Canada,32.99%,12.55,38.04,0,0,0,0,0,0,0,0,0,0,0,115,0
1417677473,AOA,Owners HandBook R1150R,BMW Group Canada,35.89%,11.66,32.49,0,0,0,0,0,0,0,0,0,0,0,169,0
32738531623,PGC,Accelerator cable,BMW Group Canada,60.41%,69.47,115,0,0,0,0,0,0,1,1,1,1,1,17,0
1417687381,AOA,OWNER'S HANDBOOK K1200LT,BMW Group Canada,33.58%,10.91,32.49,0,0,0,0,0,0,0,0,0,0,0,144,0
1417690581,AOA,OPERATING INSTRUCTIONS,BMW Group Canada,37.07%,11.86,31.99,0,0,0,0,0,0,0,0,0,0,0,176,0
1417690841,PGC,Operating instructions,BMW Group Canada,44.32%,10.34,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0
1417693441,PGC,MAINTENANCE INSTRUCTIONS,BMW Group Canada,35.33%,11.38,32.21,0,0,0,0,0,0,0,0,0,0,0,171,0
1417693691,AOA,OPER. INSTR. V.O.I.C.EII,BMW Group Canada,39.55%,8.5,21.49,0,0,0,0,0,0,0,0,0,0,0,196,0
1417698841,AOA,OPERATING INSTRUCTIONS,BMW Group Canada,34.89%,11.16,31.99,0,0,0,0,0,0,0,0,0,0,0,167,0
1417698851,AOA,OPERATING INSTRUCTIONS,BMW Group Canada,37.07%,11.86,31.99,0,0,0,0,0,0,0,0,0,0,0,189,0
1417703841,AOA,Owners Handbook - 08 R1200RT,BMW Group Canada,25.38%,5.2,20.49,0,0,0,0,0,0,0,0,0,0,0,181,0
1417703981,PGC,OWNER'S HANDBOOK,BMW Group Canada,36.00%,21.19,58.86,0,0,0,0,0,0,0,0,0,0,0,77,0
1417704001,AOA,INSTRUCTIONS,BMW Group Canada,34.89%,11.16,31.99,0,0,0,0,0,0,0,0,0,0,0,170,0
1417706231,PGC,R1200GSA English book,BMW Group Canada,36.07%,11.44,31.72,0,0,0,0,0,0,0,0,0,0,0,164,0
1417707401,AOA,Owners Manual R12R,BMW Group Canada,36.29%,11.61,31.99,0,0,0,0,0,0,0,0,0,0,0,144,0
1417712401,AOA,OWN.HANDBOOK,BMW Group Canada,36.54%,11.69,31.99,0,0,0,0,0,0,0,0,0,0,0,145,0
1417712501,AOA,Owners manual  R1200RT '08,BMW Group Canada,100%,62.99,62.99,0,0,0,0,0,0,0,0,0,0,0,84,0
1417714401,PGC,OWNER'S HANDBOOK,BMW Group Canada,34.33%,10.89,31.72,0,0,0,0,0,0,0,0,0,0,0,161,0
1417726231,AOA,Owners handbook,BMW Group Canada,36.00%,10.85,30.14,0,0,0,0,0,0,0,0,0,0,0,105,0
1418522191,BOO,Owners Handbook G650GS,BMW Group Canada,40.63%,13.2,32.49,0,0,0,0,0,0,0,0,0,0,0,93,0
1418522297,AOA,Operating instructions Radio,BMW Group Canada,43.81%,1.31,2.99,0,0,0,0,0,0,0,0,0,0,0,145,0
1418525621,BOO,F650 GS handbook,BMW Group Canada,36.00%,14.38,39.94,0,0,0,0,0,0,0,0,0,0,0,118,0
1418528487,AOA,Operationg Instructions Sirius,BMW Group Canada,57.82%,11.27,19.49,0,0,0,0,0,0,0,0,0,0,0,145,0
1418534011,BOO,Owners Handbook GSA 2012,BMW Group Canada,61.73%,42.28,68.49,0,0,0,0,0,0,0,0,0,0,0,118,0
1418543201,BOO,Owners Handbook,BMW Group Canada,39.52%,18.57,46.99,0,0,0,0,0,0,0,0,0,0,0,111,0
1418544201,BOO,Owners Handbook,BMW Group Canada,36.00%,15.55,43.2,0,0,0,0,0,0,0,0,0,0,0,114,0
1418555581,PGC,Instructions for audio system,BMW Group Canada,100%,26.06,26.06,0,0,0,0,0,0,0,0,0,0,0,84,0
1418559431,PGC,Owner's handbook S1000XR,BMW Group Canada,33.00%,35.79,108.46,0,0,0,0,0,0,0,0,0,0,0,76,0
1418563331,PGC,Owner's handbook R1200GSA,BMW Group Canada,33.00%,25.69,77.84,0,0,0,0,0,0,0,0,0,0,1,60,0
1419798291,AOA,RIDERS MANUAL,BMW Group Canada,22.58%,4.74,20.99,0,0,0,0,0,0,0,0,0,0,0,145,0
1419798741,PGC,OWNER'S MANUAL R65-R100RT,BMW Group Canada,26.38%,6.96,26.38,0,0,0,0,0,0,0,0,0,0,0,132,0
1419798991,PGC,OWNER'S HANDBOOK K100RS/K1,BMW Group Canada,26.38%,6.96,26.38,0,0,0,0,0,0,0,0,0,0,0,104,0
1419799071,AOA,OWNER'S MANUAL R100R,BMW Group Canada,20.32%,5.89,28.99,0,0,0,0,0,0,0,0,0,0,0,145,0
1419799361,AOA,Instruction manual,BMW Group Canada,26.22%,8.52,32.49,0,0,0,0,0,0,0,0,0,0,0,0,0
1419799519,AOA,OWN.HANDBOOK,BMW Group Canada,24.75%,8.04,32.49,0,0,0,0,0,0,0,0,0,0,0,177,0
014482 088104LT,AEX,Exhaust-Remus H/C Carbon Full,BUTLER MAPS INC,32.17%,521.8,"1,621.80",0,0,0,0,0,0,0,0,0,0,0,178,0
1477655437,PGC,Owners Handbook R1150GS,BMW Group Canada,35.87%,11.65,32.48,0,0,0,0,0,0,0,0,0,0,0,164,0
1477664207,AOA,OWN.HANDBOOK US-ENGLISCH,BMW Group Canada,22.01%,4.4,19.99,0,0,0,0,0,0,0,0,0,0,0,203,0
1477669037,AOA,OWN.HANDBOOK R1150GS E,BMW Group Canada,28.43%,9.52,33.49,0,0,0,0,0,0,0,0,0,0,0,203,0
1477674227,AOA,OPERATING INSTRUCTIONS,BMW Group Canada,26.57%,5.71,21.49,0,0,0,0,0,0,0,0,0,0,0,203,0
1479799927,PGC,Owner's operation manual K1200RS,BMW Group Canada,33.00%,10.63,32.21,0,0,0,0,0,0,0,0,0,0,0,87,0
1597706296,PGC,DVD REPAIR MANUALS G'S,BMW Group Canada,23.52%,30.16,128.24,0,0,0,0,0,0,0,0,0,0,0,165,0
1597720805,PGC,Repair Manula K Model new,BMW Group Canada,23.20%,29.75,128.24,0,0,0,0,0,0,0,0,0,0,0,177,0
1597720812,PGC,Repair Manual CD,BMW Group Canada,23.52%,30.16,128.24,0,0,0,0,0,0,0,0,0,0,0,171,0
1597720813,PGC,REPROM K7x,BMW Group Canada,23.52%,30.16,128.24,0,0,0,0,0,0,0,0,0,0,0,168,0
1597721678,PGC,DVD REPAIR MANUAL K2X GD,BMW Group Canada,52.30%,67.07,128.24,0,0,0,0,0,0,0,0,0,0,0,144,0
1597721681,PGC,DVD REPAIR MANUALS F,BMW Group Canada,33.00%,42.32,128.24,0,0,0,0,0,0,0,0,0,0,0,131,0
1597721684,AOA,DVD REPAIR MANUALS R,BMW Group Canada,33.13%,42.57,128.49,0,0,0,0,0,0,0,0,0,0,0,142,0
1597721689,BOO,dvd repair manual R model k2x,BMW Group Canada,37.99%,48.81,128.49,0,0,0,0,0,0,0,0,0,0,0,98,0
1597721692,PGC,DVD REPAIR MANUALS,BMW Group Canada,33.00%,42.32,128.24,0,0,0,0,0,0,0,0,0,0,0,95,0
1598551291,BOO,DVD repair manual,BMW Group Canada,33.00%,39.06,118.36,0,0,0,0,0,0,0,0,0,0,0,109,0
1598555666,PGC,DVD REPAIR INSTRUCTIONS K5X,BMW Group Canada,33.00%,49.49,149.96,0,0,0,0,0,0,0,0,0,0,0,75,0
1598559166,PGC,DVD Repair manual K48,BMW Group Canada,33.00%,49.49,149.96,0,0,0,0,0,0,0,0,0,0,0,90,0
1598559167,PGC,DVD repair manual K bike,BMW Group Canada,33.00%,49.49,149.96,0,0,0,0,0,0,0,0,0,0,0,88,0
1598559606,BOO,K2x repair manual,BMW Group Canada,32.33%,44.95,139.04,0,0,0,0,0,0,0,0,0,0,0,66,0
1598559607,BOO,"DVD repair manual, R K2x GS",BMW Group Canada,33.02%,49.52,149.99,0,0,0,0,0,0,0,0,0,0,0,97,0
1598559608,PGC,DVD Repair manual F models K7x,BMW Group Canada,33.00%,49.49,149.96,0,0,0,0,0,0,0,0,0,0,0,85,0
96981361AA,ACC,SET PROTEZIONE INF. CATENA CAR,DUCATI CANADA,30.04%,77.96,259.49,0,0,0,0,0,0,0,0,0,0,0,24,0
96450711B,ACC,CARBON COVER FOR REAR SHOCK ,DUCATI CANADA,30.01%,70.67,235.49,0,0,0,0,0,0,0,0,0,0,0,24,0
96900312A,ACC,CARBON REAR MUDGUARD - SBK,DUCATI CANADA,30.03%,118.18,393.49,0,0,0,0,0,0,0,0,0,0,0,24,0
016-4501,CNB,BALACLAVA POLARTECK,Motovan Corporation,40.92%,11.25,27.49,0,0,0,0,0,0,0,0,0,0,0,201,0
016-K004,PGC,HAND GUARD BLACK,Motovan Corporation,36.31%,18.15,49.99,0,0,0,0,0,0,0,0,0,0,0,0,0
16702,PGC,ICON HELLA HEARTBREAKER 02 BLU,Parts Canada    Power Twins (Price ,35.03%,29.77,84.99,0,0,0,0,0,0,0,0,0,0,0,0,0
1790027923,AOA,CD F650GS/DAKAR,BMW Group Canada,50.17%,42.64,84.99,0,0,0,0,0,0,0,0,0,0,0,160,0
1790134957,AOA,CD REPAIR INST. R1150R,BMW Group Canada,50.17%,42.64,84.99,0,0,0,0,0,0,0,0,0,0,0,156,0
1790138218,PGC,CD Repair R 100 S,BMW Group Canada,25.90%,21.96,84.78,0,0,0,0,0,0,0,0,0,0,0,0,0
1790148377,AOA,CD K1200LT/RS/GT,BMW Group Canada,50.17%,42.64,84.99,0,0,0,0,0,0,0,0,0,0,0,155,0
1790301737,AOA,CD REPROM FROM 09/2002,BMW Group Canada,26.03%,10.8,41.49,0,0,0,0,0,0,0,0,0,0,0,204,0
1790309629,AOA,CD REP.MAN.F650GS/DAKAR,BMW Group Canada,36.51%,31.03,84.99,0,0,0,0,0,0,0,0,0,0,0,128,0
1790309672,AOA,CD REPAIR MANUAL K1200LT,BMW Group Canada,27.77%,23.6,84.99,0,0,0,0,0,0,0,0,0,0,0,199,0
1790309677,AOA,CD REPAIR MANUAL R1200GS,BMW Group Canada,29.57%,25.13,84.99,0,0,0,0,0,0,0,0,0,0,0,197,0
1797695182,AOA,CD-Repair manual-R-models,BMW Group Canada,26.64%,22.64,84.99,0,0,0,0,0,0,0,0,0,0,0,0,0
1797698307,AOA,CD REPAIR MANUAL R-MODELS,BMW Group Canada,27.77%,23.6,84.99,0,0,0,0,0,0,0,0,0,0,0,180,0
1797702670,PGC,DVD Repair Manual K-Model,BMW Group Canada,50.01%,51.3,102.57,0,0,0,0,0,0,0,0,0,0,0,0,0
1797706298,AOA,Repair Manual DVD R2X Street,BMW Group Canada,26.25%,33.73,128.49,0,0,0,0,0,0,0,0,0,0,0,188,0
1797707422,AOA,CD 19.0,BMW Group Canada,16.58%,27.19,163.99,0,0,0,0,0,0,0,0,0,0,0,204,0
1997721734,SSS,cd,BMW Group Canada,19.28%,19.47,100.99,0,0,0,0,0,0,0,0,0,0,0,155,0
020000300-8,PGC,3in Mirror Stem Blk,Eurotech Motorsports,33.54%,9.89,29.49,0,0,0,0,0,0,0,0,0,0,0,176,0
020000500-8,PGC,"Wolf Mirror stem 4.5"".",Eurotech Motorsports,35.54%,12.97,36.49,0,0,0,0,0,0,0,0,0,0,0,176,0
20003,AOA,Gear Plate kit-Acon All.Shield,Parts Canada    Power Twins (Price ,28.18%,3.52,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0
20214,PGC,OIL FILTER-YAMAHA,BUTLER MAPS INC,100%,0.99,0.99,0,0,0,0,0,0,0,0,0,0,0,201,0
021-205,ATR,120/70-17 Mich PR3 (DC),Thibault Canada (Price Book),35.00%,88.9,253.99,0,0,0,0,0,0,0,0,0,0,0,140,0
021-812,ATR,100/90-19 Mich T66x (DC),Thibault Canada (Price Book),35.01%,74.57,212.99,0,0,0,0,0,0,0,0,0,0,0,129,0
21001,AHM,ICON SHIELD CLEAR,Parts Canada    Power Twins (Price ,10.11%,2.02,19.99,0,0,0,0,0,0,0,0,0,0,0,140,0
21004,PGC,ICON SHIELDS ALLIANCE RST SILV,Parts Canada    Power Twins (Price ,9.35%,4.02,42.99,0,0,0,0,0,0,0,0,0,0,0,201,0
21006,PGC,ICON SHIELDS ALLIANCE RST BLUE,Parts Canada    Power Twins (Price ,9.35%,4.02,42.99,0,0,0,0,0,0,0,0,0,0,0,181,0
21021,AHM,ICON VARIANT FOG FREE SHIELD C,Parts Canada    Power Twins (Price ,46.86%,25.77,54.99,0,0,0,0,0,0,0,0,0,0,0,0,0
